id,name
9324fd9d-fbe6-4bf5-bf7d-949b95de37bd,Parcel-type
aa51a7f2-8c13-49ff-85c8-93c5c396f545,Password indicator
5ab46010-01c7-4111-87f4-dca4113acb00,Payment
1fd0f883-ad08-4176-a918-fab0cf67d4f3,Payment Logos
dc9d43e0-0604-4114-8372-c843c17b0ca8,payment-fail
34c26b4d-86c5-49c7-a882-9d1b48541839,Payout-expand
2ed7c553-93c4-4784-bbce-a00678e12289,Payout-state
33c2f843-1dd1-4d4a-a12e-ab06975b0523,Phone Number
ac142a39-6749-47f6-ad26-24078e89caf1,Pie Chart
9a18cc9e-44a6-4dd8-a39a-a45302ec4122,placement
9ef5a473-b36d-48d4-bd0d-8a169f3b4d6f,placement
5de9d202-e606-426b-a865-1299f3996eb7,process
4472756c-fa41-4cbb-8df6-5ca15fdbb908,processCard
36bf808b-3603-48e8-ae58-7e5cc859d144,Profile-rider
72437939-9842-4794-acc8-837cd227dfd7,progress
ff7c52c2-72b7-46f5-8236-a3462ad58d3e,Progress bar
4a208180-1de8-4627-9648-17e1c8816d42,Progress circle
19110752-fa6d-49a7-bb1d-6488911c5891,Progress semicircle
140bb4a7-9478-481c-acb5-e8c1eab9aa89,Project status
5964fc04-807d-4cb3-b190-48a1b6e3e432,Rating
6589b028-ddca-4990-a6a9-36e82a445904,Rating
407e0150-141c-493c-85e6-9adbce286e60,Rating
97798a23-6919-4ba6-b804-f6fd2abd4fe2,Rating-Chip
76bd9c95-11e3-49be-9b22-bb0457dd05b3,referral-bonus
b44fe442-7028-410e-8b5e-15bb3bd79ebe,referral-code-card
265e9206-7875-4f19-8ae5-900a0509ca52,referral-stepper
0d751f2b-f487-47f2-95bd-9fe7fd542dd7,Result-State
0659d4c1-c870-4d70-8d0d-53b307c1bff3,RichtextEditor
8fba2b64-c77e-4452-b501-ca8586ddccaf,RichtextToolbar
5cc2f573-df31-4ad9-82ac-8d0c01eae31e,Rider-type
88598f34-cf15-49ab-84ca-31310ad7a2b7,Scroll bar
35d4dd0c-b6c8-4522-ac64-c98dca2dfdd8,Search
c1958c14-b748-442c-bd86-8ee75ccb1171,Search Action
c6a116df-0c63-46e6-b2de-72a02b27be49,Search Display
ee906da2-8568-4ae7-90ea-b81214a4ea68,Section-Header
909b329b-b9cf-42cd-b823-1ab1e1ef454c,Selector-Group
2bae44a0-141c-4b3a-b2d5-13c6b1a58147,Selects
3a395072-f3a3-4e8a-af2c-04a3425fc4a0,Slider
bbb53cf8-3c42-499d-851c-16b6ed78f771,Social button groups
a2c476df-7f27-4dbb-9409-a2b78141c2e4,Social platforms logos
baa2b3c5-7986-43d8-a94e-a211948655b1,status-bar
1cc90f08-abcd-49aa-818c-ddaf505e5684,Stepper
e9aefb81-3489-44d2-9188-71df6f6a67c4,Steps
0a39a831-f6e0-4cc1-9ff8-1e26bb272722,Swipe left action
b0d70e73-6c38-4a56-851a-386c01f13851,Tabs
e133a1fc-d343-4b0b-931d-e570f1cbaad8,Text Icon
fe99d0fd-f59a-47ef-8743-70ea295953a2,Thumbnail
f1f88470-b8c0-4963-bba3-346514a99d70,Tile
dfe45b70-93e4-4084-86af-13be40891d0a,Title
2db4d585-2b1e-4b28-a9a5-4faf0d2406bd,Title-Progress
ae8974db-d56d-470c-8154-82ca5074ee5b,Toggle
a6326033-d172-4ebc-9898-bc75092dc8cc,Tool tip
7d84ce69-7956-43f4-8342-b5a29a75a39f,top-navigation
1faae90e-47ac-4c51-beee-cb884ff9d629,TransferStatus
f9a97aaa-9609-4f38-8e70-37de4803c7e7,User-comment-card
f66c050d-c7ab-4ee8-a05f-9be31693aa39,Vehicle
f88a6aa5-8efe-4a9c-aba4-a9f37fa9c409,Vehicle
c0c5407e-48b0-42ad-982e-145ada8df3a0,Venn Chart
f095b0dd-689e-490c-a0f0-6f9f6b820c8b,Video Call UI
31ea8f93-69fc-41dd-bd7b-052a8935c3dc,Video player
1fc981fe-3e97-4412-8eb0-38f98ba7e4c7,World map
0be2750f-4bfa-4204-acb1-9fc14f884f6c,YAK-Expression
9d1c1837-1d9f-4547-99b1-96fa917b736d,YAK-Poses
